uf,media_parcela,mediana_parcela,pagamentos
AC,272.64,245.0,1076903
AM,230.86,191.0,4853079
AP,229.36,191.0,914877
RR,216.25,178.0,604638
MA,214.78,178.0,11447049
PI,212.19,179.0,5392125
PB,203.43,178.0,6183330
PA,201.87,171.0,11470663
AL,195.15,171.0,4827827
TO,191.84,171.0,1402159
CE,190.0,171.0,12804540
RN,189.39,171.0,4289708
BA,188.65,171.0,21801582
RJ,186.5,171.0,10925077
PE,185.73,171.0,13950618
MG,184.23,171.0,12653584
MS,184.03,171.0,1517756
DF,181.22,171.0,960922
SC,178.35,171.0,1502169
ES,177.97,171.0,2278448
RS,175.33,171.0,4413843
SP,174.36,171.0,18585495
MT,172.3,171.0,1889758
SE,171.94,140.0,3416354
PR,167.51,164.0,4485130
GO,162.66,164.0,3601838
RO,155.94,137.0,963601
