municipio,uf,pagamentos,total_pago,media_parcela
SAO PAULO,SP,5511646,889356265.0,161.36
RIO DE JANEIRO,RJ,3149998,548049474.0,173.98
FORTALEZA,CE,2552301,468130718.0,183.42
SALVADOR,BA,2088138,321505699.0,153.97
MANAUS,AM,1568517,255207275.0,162.71
BELEM,PA,1408005,221847469.0,157.56
NOVA IGUACU,RJ,887734,182281853.0,205.33
BRASILIA,DF,960922,174137318.0,181.22
RECIFE,PE,1122454,152849415.0,136.17
SAO LUIS,MA,946416,152289253.0,160.91
TERESINA,PI,740382,144409382.0,195.05
BELO HORIZONTE,MG,773453,134431147.0,173.81
JOAO PESSOA,PB,718955,127090481.0,176.77
PORTO ALEGRE,RS,604936,126917540.0,209.8
SAO GONCALO,RJ,727200,126185551.0,173.52
JABOATAO DOS GUARARAPES,PE,779100,119320402.0,153.15
MACEIO,AL,723351,117033600.0,161.79
CAMPOS DOS GOYTACAZES,RJ,517009,110846899.0,214.4
NATAL,RN,583006,109311501.0,187.5
DUQUE DE CAXIAS,RJ,653620,108543268.0,166.06
